 t,xh,yh,zh,vxh,vyh,vz
 0.0000000000000000E+00, 7.8447422290361046E-01, 6.0834664588920739E-01,-1.9969120829822830E-05,-1.0818280103689040E-02, 1.3526750837437910E-02, 2.3301627510155490E-07
 0.3652500000000000E+06,-6.5619607983606421E-01, 7.3400836579219908E-01,-1.4374301404656050E-03,-1.3089740400263344E-02,-1.1558376673778167E-02, 3.0255482379107318E-05
 0.7305000000000000E+06,-7.1901436075945979E-01,-7.0186515407492323E-01, 3.6903096967547486E-03, 1.1776787858729662E-02,-1.2415421118911890E-02, 4.5507495991614855E-05
 0.1095750000000000E+07, 7.0009177788174304E-01,-7.3258147854007727E-01, 3.7622287054094707E-03, 1.2210748188439565E-02, 1.1779968598092265E-02,-9.4851898664713585E-05
 0.1461000000000000E+07, 7.1302912202572599E-01, 6.9408206055336086E-01,-7.5602209676545159E-03,-1.2223230047985969E-02, 1.2213319689816104E-02,-7.6448482165638020E-05
 0.1826250000000000E+07,-7.3050339816636900E-01, 6.6188724507998287E-01,-4.5392716463841963E-03,-1.1759079265635913E-02,-1.2879935066717113E-02, 1.7294132238815745E-04
 0.2191500000000000E+07,-6.3824361845927802E-01,-7.7279518458731011E-01, 1.2256392539941577E-02, 1.3084324976037858E-02,-1.1093485571146960E-02, 7.8543574480026521E-05
 0.2556750000000000E+07, 7.7788196002890708E-01,-6.4681664085821244E-01, 4.6142711083273233E-03, 1.0833613368660603E-02, 1.3092303985672425E-02,-2.4303762916209873E-04
 0.2922000000000000E+07, 6.3129232839813232E-01, 7.7187516100039277E-01,-1.6331363305715527E-02,-1.3477958997238923E-02, 1.0752440614147103E-02,-7.1556916572844116E-05
 0.3287250000000000E+07,-7.9747464363905884E-01, 5.8260474675784457E-01,-3.0317956841185373E-03,-1.0289495461747251E-02,-1.4039209718926880E-02, 3.2327082646498029E-04
 0.3652500000000000E+07,-5.5199300332970358E-01,-8.3386131477823799E-01, 2.0592101231697055E-02, 1.4230629985883630E-02,-9.6445396206692804E-03, 3.0950473044136238E-05
 0.4017750000000000E+07, 8.4436464305698711E-01,-5.5335223419909596E-01, 6.9043825879198267E-04, 9.3265156498004449E-03, 1.4245956926407776E-02,-3.8146384650723368E-04
 0.4383000000000000E+07, 5.4019600134653978E-01, 8.4024293025266850E-01,-2.4076988200413561E-02,-1.4565786134455637E-02, 9.1637548997982442E-03, 1.2189766269514581E-05
 0.4748250000000000E+07,-8.5661473531737398E-01, 4.9636922591454702E-01, 2.7222937968144471E-03,-8.6979330676456995E-03,-1.5025305578195864E-02, 4.4419019072081128E-04
 0.5113500000000000E+07,-4.6094151630397961E-01,-8.8531771530246717E-01, 2.6731752081069274E-02, 1.5205300291900207E-02,-8.0839157275948096E-03,-8.6382837949066933E-05
 0.5478750000000000E+07, 8.9887566231552884E-01,-4.5381847563890720E-01,-7.0920921157663552E-03, 7.7069822943796546E-03, 1.5229816852354734E-02,-4.7638582154827154E-04
 0.5844000000000000E+07, 4.4081690452137545E-01, 8.9785127388196151E-01,-2.8855542120017032E-02,-1.5476125365077578E-02, 7.4668544235645925E-03, 1.5660175161502537E-04
 0.6209250000000000E+07,-9.0700135492484724E-01, 4.0344878903639175E-01, 1.1583374162932144E-02,-7.0036102800325418E-03,-1.5832810806891154E-02, 5.0685321838270464E-04
 0.6574500000000000E+07,-3.6595412384017439E-01,-9.2719578569155969E-01, 2.9256644008812158E-02, 1.5997820705913886E-02,-6.4274711829354339E-03,-2.4949437144268586E-04
 0.6939750000000000E+07, 9.4101459132566512E-01,-3.4995466639593170E-01,-1.7081881785513984E-02, 5.9931643099580710E-03, 1.6033124959270381E-02,-5.0421311568960697E-04
 0.7305000000000000E+07, 3.3479064627790001E-01, 9.4348086666978881E-01,-2.9384947456311945E-02,-1.6197716033766605E-02, 5.6805030533142765E-03, 3.3243215032799611E-04
 0.7670250000000000E+07,-9.4774531607744361E-01, 3.0430225444520131E-01, 2.1837607787962291E-02,-5.2263093183579010E-03,-1.6452742715033334E-02, 4.9457319359656911E-04
 0.8035500000000000E+07,-2.6767044986282273E-01,-9.5956865189002682E-01, 2.7472341775689104E-02, 1.6597739922469903E-02,-4.6925882336076499E-03,-4.2614022006538002E-04
 0.8400750000000000E+07, 9.7079979356471291E-01,-2.4335940700720882E-01,-2.7262175792404985E-02, 4.2075824796637545E-03, 1.6644471676110700E-02,-4.5471528471593856E-04
 0.8766000000000000E+07, 2.2400528278440349E-01, 9.7617371831203059E-01,-2.5251047047614120E-02,-1.6723186703694694E-02, 3.8266610083439053E-03, 5.0480121793999822E-04
 0.9131250000000000E+07,-9.7776422885836189E-01, 1.9980319316830475E-01, 3.1492680861169201E-02,-3.3888389593284200E-03,-1.6879723450229329E-02, 4.0523455064554108E-04
