 t,xh,yh,zh,vxh,vyh,vz
 0.0000000000000000E+00, 4.9134676668880539E+00,-3.1886966347017140E+01, 1.9916040459076740E+00, 3.1560668298849150E-03,-1.4588989139232661E-04,-8.9870766554492072E-04
 0.3652500000000000E+06, 1.3180904447188942E+01,-3.1342850409107569E+01,-4.7824999248085037E-01, 2.9648784460419974E-03, 5.3917698681610045E-04,-9.1661489747015023E-04
 0.7305000000000000E+06, 1.9642577818378960E+01,-2.9555160949420110E+01,-2.5527972992498782E+00, 2.7077794490807244E-03, 1.0359782131537326E-03,-8.9262929916921092E-04
 0.1095750000000000E+07, 2.5031516006006139E+01,-2.6988829056972779E+01,-4.3982933448710551E+00, 2.4042903267695939E-03, 1.4077381813293881E-03,-8.4690187399337393E-04
 0.1461000000000000E+07, 2.9599165978101375E+01,-2.3853608526145020E+01,-6.0698886169004869E+00, 2.1006135985932287E-03, 1.6795239883555797E-03,-7.8827318084281157E-04
 0.1826250000000000E+07, 3.3865441309701652E+01,-1.9865895977520069E+01,-7.7406168727992375E+00, 1.7660401306994768E-03, 1.9222324591538010E-03,-7.1323928287950189E-04
 0.2191500000000000E+07, 3.7820838547206066E+01,-1.4738490432408586E+01,-9.4383567739002672E+00, 1.3621234463235912E-03, 2.1224487304135446E-03,-6.1775282621170230E-04
 0.2556750000000000E+07, 4.1018412097346513E+01,-8.5564092920996604E+00,-1.1031346746804129E+01, 9.2820713180150722E-04, 2.2409208350443102E-03,-5.0532645984813337E-04
 0.2922000000000000E+07, 4.3300485700769435E+01,-8.3227843117544609E-01,-1.2508107551765880E+01, 4.4687495520736047E-04, 2.2993275024948902E-03,-3.6738832861728585E-04
 0.3287250000000000E+07, 4.3923188179361013E+01, 8.4490751040719765E+00,-1.3652885914693936E+01,-1.0020397444859525E-04, 2.2663853950076222E-03,-2.0359607529789607E-04
 0.3652500000000000E+07, 4.1987633454725213E+01, 1.8791778440513188E+01,-1.4156961523940438E+01,-6.7859475831601548E-04, 2.0803098965867539E-03,-1.8064430406455927E-05
 0.4017750000000000E+07, 3.6948364081991990E+01, 2.8920000705057046E+01,-1.3725717935910389E+01,-1.2086846699424915E-03, 1.7510910756215674E-03, 1.7408957328368096E-04
 0.4383000000000000E+07, 2.8766767750504251E+01, 3.7443127685797947E+01,-1.2201096403744778E+01,-1.6778739417297086E-03, 1.2888562032298009E-03, 3.6029641728226036E-04
 0.4748250000000000E+07, 1.7852808542639146E+01, 4.3135126444089330E+01,-9.5842824296117310E+00,-2.0485413595670550E-03, 6.6325263948344040E-04, 5.2924388318583023E-04
 0.5113500000000000E+07, 5.1059491406488471E+00, 4.4827945812036312E+01,-6.0203027239710574E+00,-2.2375350863864120E-03,-1.1171927800035199E-04, 6.6483918695726398E-04
 0.5478750000000000E+07,-7.8104196849827989E+00, 4.1778785667482580E+01,-1.9204507749535251E+00,-2.2008032877187788E-03,-9.7253093312982925E-04, 7.4337215064605830E-04
 0.5844000000000000E+07,-1.9153657893252547E+01, 3.3985159570864788E+01, 2.1943016044656103E+00,-1.8819651592439637E-03,-1.8828445256359671E-03, 7.3806387319219039E-04
 0.6209250000000000E+07,-2.7160851214354121E+01, 2.2206757629143549E+01, 5.7254252432769936E+00,-1.1871419686382018E-03,-2.7198011194283374E-03, 6.1783002003637088E-04
 0.6574500000000000E+07,-3.0411602489704325E+01, 8.6308776816319703E+00, 8.0418766143606017E+00,-1.8119674224313664E-04,-3.2368720985005224E-03, 3.7638450975754814E-04
 0.6939750000000000E+07,-2.9071414821431329E+01,-4.1983249377454541E+00, 8.9297038427151367E+00, 9.0571876842610759E-04,-3.3049132758294743E-03, 6.1409089148615865E-05
 0.7305000000000000E+07,-2.4605848771395483E+01,-1.4470131906452306E+01, 8.6336333279601156E+00, 1.8444190299942386E-03,-2.9878124662983973E-03,-2.4789812498265138E-04
 0.7670250000000000E+07,-1.8624649651304384E+01,-2.1886969009868416E+01, 7.6065730883122855E+00, 2.5229192141024647E-03,-2.4224182323378976E-03,-5.0050428583229807E-04
 0.8035500000000000E+07,-1.1923095505659381E+01,-2.7011166758448741E+01, 6.1382245811027358E+00, 2.9319751134511407E-03,-1.7483843044411014E-03,-6.8849345916765288E-04
 0.8400750000000000E+07,-5.3773204173818749E+00,-3.0102483483808658E+01, 4.5064920789165495E+00, 3.1202637131726861E-03,-1.1149089030568667E-03,-8.0963482217786338E-04
 0.8766000000000000E+07, 1.0239268473049874E+00,-3.1763124094881874E+01, 2.7761585034511285E+00, 3.1737142827099260E-03,-5.1343865753979612E-04,-8.8184341770340452E-04
 0.9131250000000000E+07, 7.7924195815997574E+00,-3.2216423834507538E+01, 8.2121433964550017E-01, 3.0900258978834843E-03, 9.4209668127457580E-05,-9.1596347806561259E-04
 0.9496500000000000E+07, 1.4833638238484113E+01,-3.1310416751132649E+01,-1.3506637016211598E+00, 2.8770335429118259E-03, 6.6036179616759132E-04,-9.1142241349027983E-04
 0.9861750000000000E+07, 2.2483098530587057E+01,-2.8634167650308097E+01,-3.8747276054567767E+00, 2.5424919709273750E-03, 1.2117945977297136E-03,-8.6372935595394236E-04
 0.1022700000000000E+08, 3.0380069385508989E+01,-2.3520005461930722E+01,-6.7029342203943205E+00, 2.0446117007919921E-03, 1.7215256811119407E-03,-7.6365560827949418E-04
 0.1059225000000000E+08, 3.7276140211464977E+01,-1.5822811019543220E+01,-9.4824085603477890E+00, 1.4166426728439918E-03, 2.0846565073678481E-03,-6.1562461226258032E-04
 0.1095750000000000E+08, 4.2225643182614583E+01,-5.5953566636303114E+00,-1.1919717037603016E+01, 7.2415274179814303E-04, 2.2659344422833972E-03,-4.2705737393387302E-04
 0.1132275000000000E+08, 4.4056948921010054E+01, 6.2906958061306373E+00,-1.3581675888374527E+01, 1.6342750642196381E-05, 2.2726300876284343E-03,-2.1531689072255453E-04
 0.1168800000000000E+08, 4.2123927247612251E+01, 1.8624296686586383E+01,-1.4163864360595523E+01,-6.7568833498304675E-04, 2.0811967736940442E-03, 5.3123967800168466E-06
 0.1205325000000000E+08, 3.6397393511597102E+01, 2.9698363682990738E+01,-1.3503584980325302E+01,-1.2694691883564228E-03, 1.7039199292074288E-03, 2.1582783315168887E-04
 0.1241850000000000E+08, 2.7512183400832388E+01, 3.8285048470730132E+01,-1.1665124048849265E+01,-1.7399723349244972E-03, 1.1968321401658372E-03, 4.0561968965233591E-04
 0.1278375000000000E+08, 1.6317690900991941E+01, 4.3448067905257979E+01,-8.8173652465060801E+00,-2.0915338520714711E-03, 5.6229534822771975E-04, 5.6701243640793560E-04
 0.1314900000000000E+08, 4.1955091637048403E+00, 4.4578732168966340E+01,-5.3198956321864257E+00,-2.2652245444305321E-03,-1.8763387760038856E-04, 6.8529138643941680E-04
 0.1351425000000000E+08,-7.3671819967683483E+00, 4.1692083708317483E+01,-1.6193630318564500E+00,-2.2212859615417017E-03,-9.7475653333006849E-04, 7.4725767126470439E-04
 0.1387950000000000E+08,-1.6986462440073016E+01, 3.5627418347300221E+01, 1.7980660849231567E+00,-1.9819031999086401E-03,-1.7248645880354114E-03, 7.4391675149296243E-04
 0.1424475000000000E+08,-2.4025984425032163E+01, 2.7496810795209019E+01, 4.6330876746486123E+00,-1.5528240446996027E-03,-2.4011259844640216E-03, 6.7412920950851599E-04
 0.1461000000000000E+08,-2.8218356973914620E+01, 1.8840235853083993E+01, 6.6695685432262310E+00,-9.7850148170790371E-04,-2.8998758890241240E-03, 5.5034154128074330E-04
 0.1497525000000000E+08,-3.0090876426536472E+01, 1.0320170914012666E+01, 8.0000362294105400E+00,-3.4435679023314783E-04,-3.2027138364488913E-03, 3.8966335621668392E-04
 0.1534050000000000E+08,-3.0177439644394983E+01, 2.6287244318723992E+00, 8.7179273645200439E+00, 2.7666987560171765E-04,-3.3410823581113444E-03, 2.1334440511874654E-04
 0.1570575000000000E+08,-2.8939641023075112E+01,-4.4049308084443846E+00, 8.9770904782326042E+00, 9.0162036917038470E-04,-3.3301808062188468E-03, 2.7353941914153005E-05
