 t,a,e,inc,long,varpi,f
0.0,16.162429467657734,0.9999914298579523,0.29957333364119076,1.9248963251770923,3.4947589310326497,3.1415911482037173
365250.0,17.002566856552967,0.9999918352392413,0.29947221149277237,1.9233119018098728,3.493200968564677,3.141590889642218
730500.0,17.789503043520675,0.9999921464226529,0.298708597213516,1.921575845958775,3.4915296536070755,3.14159079553987
1095750.0,18.535975932471064,0.999992496208356,0.29961405421277915,1.921431691978529,3.4914640535763075,3.1415907979314914
1461000.0,19.248117861905992,0.9999928167736533,0.29991065520449195,1.9206976490538417,3.4908158762366326,3.141590804344282
1826250.0,20.00906653667315,0.9999930436310218,0.29902229446078654,1.9171592217288687,3.48737350090218,3.141590852520768
2191500.0,20.837069534085412,0.9999932962330331,0.29938656887638426,1.9169090392342296,3.487229269426716,3.1415909897231717
2556750.0,21.664634378259933,0.9999936127474761,0.29990149387088544,1.91733967611696,3.487774480963857,3.141591158118877
2922000.0,22.539357509937815,0.9999938537290246,0.29936098906643577,1.9119216202714673,3.482486171057702,3.1415913589026796
3287250.0,23.382942846009602,0.999994020748136,0.2993888282606225,1.9099927095082725,3.480694857362688,3.141591655990716
3652500.0,24.065147949521545,0.9999942241103456,0.29942858595741684,1.912857012739645,3.4837016192720665,3.1415920551268055
4017750.0,24.44359256630232,0.9999943629740589,0.2996914629629652,1.906961150144594,3.4779522023837286,3.1415924593024216
4383000.0,24.384395751386517,0.9999943198929322,0.3001094947756909,1.9038596293081809,3.4749936587821715,3.141592892937883
4748250.0,23.82873190017362,0.9999941552103734,0.29922522037677707,1.9065636345385362,3.477834198102531,3.1415933800882625
5113500.0,22.758913268766218,0.9999939359277872,0.2997521797048115,1.9038035884103823,3.4752053738790276,3.1415938407364172
5478750.0,21.27304685918128,0.9999935334980784,0.3006720302665013,1.9018524616010595,3.473365775558562,3.141594196633635
5844000.0,19.536377431339776,0.9999928960040699,0.29945779328126165,1.9008038729398218,3.4723760979581613,3.1415944399276716
6209250.0,17.773877404718615,0.9999921583450475,0.2994582870810985,1.8992877434435977,3.4708134382757105,3.1415944936871223
6574500.0,16.309803492224066,0.9999914910561709,0.3000169383897598,1.899588091517268,3.4709074261736728,3.1415942305804636
6939750.0,15.350254984435646,0.9999909822813438,0.29980253224123243,1.896285951658899,3.4672565003355373,3.1415936806895535
7305000.0,14.911241229214669,0.9999906558445757,0.29985560193610145,1.8934663785542334,3.4640564502942235,3.1415930355365242
7670250.0,14.86426292592526,0.9999906036006765,0.29960485185936375,1.894856137711264,3.4651328201483267,3.1415924547835066
8035500.0,15.0785407294601,0.9999907904258926,0.299749293749025,1.8929095315402504,3.4629630882720113,3.141591946294597
8400750.0,15.454710127095863,0.9999910321834109,0.3004386758895968,1.8897581005609116,3.4596828382985114,3.141591527590373
8766000.0,15.950397123224176,0.9999912519734858,0.29978312665307144,1.8895428355532604,3.4594106424137614,3.1415912275868156
9131250.0,16.577875004929478,0.9999915834717726,0.299634050748773,1.8884000814100712,3.4582652859632663,3.1415910264266578
9496500.0,17.3364744848844,0.9999920119781532,0.30064128672680346,1.8871596566035724,3.4570706616628017,3.1415908788496094
9861750.0,18.305938784039807,0.9999924123875089,0.29996087523519854,1.8851479725627958,3.455155182181697,3.141590783390174
10227000.0,19.500514169766728,0.9999928307455858,0.29942512044431746,1.8821854454170364,3.4523359704074617,3.141590828638553
10592250.0,20.795434097294006,0.999993309153621,0.3002993184823653,1.8827175480760943,3.453038911986825,3.1415910155461413
10957500.0,22.11563596306744,0.9999937582265789,0.30013291583292245,1.8802971276111227,3.4508064661157425,3.141591279124261
11322750.0,23.265117775625125,0.9999940328679732,0.2999182804858791,1.8749728483381256,3.445666404208989,3.141591630931449
11688000.0,24.0931437177832,0.9999942108968646,0.3000610153394915,1.8768768503089368,3.4477408508513254,3.1415920897033915
12053250.0,24.439329778023488,0.9999943535427486,0.3000269635933781,1.8765725574460617,3.447593098852483,3.141592571972772
12418500.0,24.28350113758976,0.9999943349398595,0.30074683280190634,1.87126267586735,3.4424310854969384,3.1415930225252113
12783750.0,23.620758648503116,0.9999941180517202,0.30035468113559927,1.8718791871355394,3.443184456370469,3.1415934789581033
13149000.0,22.54539884671909,0.9999938227179813,0.29953942507287207,1.8718567188534834,3.443282044322795,3.1415939208895316
13514250.0,21.184546038271854,0.9999934739256658,0.3006962687957361,1.869352973889207,3.4408735684706047,3.14159424550533
13879500.0,19.75536342217223,0.9999929859105017,0.30053618103068214,1.8681720705785363,3.4397427788865356,3.1415944272661904
14244750.0,18.403796722226218,0.9999924035566984,0.29948784010754753,1.865464893638217,3.4370228691846583,3.141594503975647
14610000.0,17.28961703700964,0.9999919298596758,0.3002568644408659,1.8650517622853815,3.436528687395848,3.141594449102427
14975250.0,16.4010423710197,0.9999915484827696,0.3005475365409942,1.864649309836649,3.435980832233276,3.1415942348691157
