 t,xh,yh,zh,vxh,vyh,vz
 0.0000000000000000E+00,-8.2518654799859821E+00,-5.2250086399581823E+00, 4.1939352212419062E-01, 2.6773744239338769E-03,-4.7239614719522174E-03,-2.4586433481282280E-05
 0.3652500000000000E+06,-9.3311663314244750E+00,-2.0370116410382124E+00, 4.1335247736104380E-01, 9.0798197449726032E-04,-5.4951179342204604E-03, 4.9084660744538124E-05
 0.7305000000000000E+06,-9.2389305372186801E+00, 1.4150077827766805E+00, 3.6643415194416129E-01,-1.0941120032046737E-03,-5.5734016922482903E-03, 1.2311000354094212E-04
 0.1095750000000000E+07,-7.8830599952324176E+00, 4.7486892222635495E+00, 2.7759641231142929E-01,-3.1061249724284716E-03,-4.8580295257366121E-03, 1.8972218381798898E-04
 0.1461000000000000E+07,-5.4808756843195896E+00, 7.3525634781026534E+00, 1.6141570960369914E-01,-4.6686141789072360E-03,-3.4368200085146215E-03, 2.3404067473761396E-04
 0.1826250000000000E+07,-2.2328366055859106E+00, 8.9289116703125977E+00, 2.5119647536463802E-02,-5.5709574353669947E-03,-1.4621143323956436E-03, 2.5096371909475357E-04
 0.2191500000000000E+07, 1.2030717305725656E+00, 9.2369590042212373E+00,-1.0608361292076678E-01,-5.6718240259283643E-03, 6.1693617676283809E-04, 2.3928233666193813E-04
 0.2556750000000000E+07, 4.5001198941213270E+00, 8.3330955692117996E+00,-2.2343077289987803E-01,-5.0159704393726197E-03, 2.5250097218312653E-03, 2.0309314984637565E-04
 0.2922000000000000E+07, 7.1434358181673225E+00, 6.3800113086052113E+00,-3.1149631238684777E-01,-3.7879751595053975E-03, 4.0381239917055113E-03, 1.5082082982737998E-04
 0.3287250000000000E+07, 8.9503428915308394E+00, 3.7280281175014052E+00,-3.6730922423237483E-01,-2.1840017421213792E-03, 5.0355437596398354E-03, 8.9206605295916877E-05
 0.3652500000000000E+07, 9.6888385470035860E+00, 5.9139185280533335E-01,-3.8634203827097019E-01,-3.6713386809885984E-04, 5.4592633617392555E-03, 2.3525402101143563E-05
 0.4017750000000000E+07, 9.3385714591099855E+00,-2.5512484767667001E+00,-3.7004464846134466E-01, 1.4805947975344727E-03, 5.2794280266266020E-03,-4.0275939569961536E-05
 0.4383000000000000E+07, 7.8721772867970268E+00,-5.5225980993958501E+00,-3.1873610001929314E-01, 3.2340239341056894E-03, 4.4921642230526717E-03,-1.0029550613905631E-04
 0.4748250000000000E+07, 5.4541626361533346E+00,-7.7762234404818757E+00,-2.3922261440737558E-01, 4.6157858793858903E-03, 3.1510057990650816E-03,-1.4712105159909764E-04
 0.5113500000000000E+07, 2.2597252234238852E+00,-9.1519866416144975E+00,-1.3709091877783275E-01, 5.4852855987739006E-03, 1.3078252601431721E-03,-1.7762684079552000E-04
 0.5478750000000000E+07,-1.2266594585723285E+00,-9.3049746353902574E+00,-2.7913553814893272E-02, 5.6249921631882586E-03,-7.1690949236737002E-04,-1.8575495637339012E-04
 0.5844000000000000E+07,-4.5797095670775745E+00,-8.2211557288746420E+00, 7.4796244538929399E-02, 4.9641439586229283E-03,-2.6739220823588775E-03,-1.7022617070724651E-04
 0.6209250000000000E+07,-7.3353166335870759E+00,-6.0362126647845216E+00, 1.5894965769108504E-01, 3.6510802266543321E-03,-4.2494221813693398E-03,-1.3595855702899207E-04
 0.6574500000000000E+07,-9.1094932763118130E+00,-3.1438757334137630E+00, 2.1267774740267659E-01, 1.9374552754879587E-03,-5.1703678839327824E-03,-9.0825539697843692E-05
 0.6939750000000000E+07,-9.7612231103191700E+00, 1.6688008918849465E-01, 2.3561738882959232E-01, 1.8020758342469414E-05,-5.4354750360238102E-03,-4.1395889268552288E-05
 0.7305000000000000E+07,-9.3018567371072720E+00, 3.3253199767835140E+00, 2.2810720727667194E-01,-1.7787149587064285E-03,-5.0853816369048257E-03, 3.5886662031474231E-06
 0.7670250000000000E+07,-7.7725467004266342E+00, 6.1462413799190072E+00, 1.9519983132283111E-01,-3.3592238670508844E-03,-4.1777916366707493E-03, 4.1522118843753469E-05
 0.8035500000000000E+07,-5.4354467300114893E+00, 8.2109465300854367E+00, 1.4378784823071303E-01,-4.5795081971497145E-03,-2.8443581549758598E-03, 6.9067392729350527E-05
 0.8400750000000000E+07,-2.4703010795158562E+00, 9.4184900780128196E+00, 8.0409294953514024E-02,-5.3453709646556023E-03,-1.1609073607537219E-03, 8.5358956417724727E-05
 0.8766000000000000E+07, 8.2440524068564713E-01, 9.4689452691119751E+00, 1.3353202784611409E-02,-5.5339151003832446E-03, 7.6259431022466888E-04, 8.7711823444783905E-05
 0.9131250000000000E+07, 4.0379409046620802E+00, 8.3676124819067503E+00,-4.7870783505371911E-02,-5.0285552872815498E-03, 2.7322542606904817E-03, 7.4829058988022540E-05
 0.9496500000000000E+07, 6.7814951531345642E+00, 6.0446853964046650E+00,-9.3731320269660898E-02,-3.7661905310097978E-03, 4.4812480454462979E-03, 4.7675952544950469E-05
 0.9861750000000000E+07, 8.5017160612061513E+00, 2.8331933254799124E+00,-1.1314805637826539E-01,-1.8359617764099141E-03, 5.6199842652157094E-03, 9.5049225726248329E-06
 0.1022700000000000E+08, 8.9446319655751605E+00,-9.1458266646715347E-01,-1.0364357747780438E-01, 4.6413463392900510E-04, 5.8939444376164491E-03,-3.1130083950308492E-05
 0.1059225000000000E+08, 7.9738724803643306E+00,-4.4576355453390768E+00,-6.5254923204218399E-02, 2.5723457229395639E-03, 5.2166984331668866E-03,-6.2896245516801377E-05
 0.1095750000000000E+08, 5.8137936774464025E+00,-7.3799895746992386E+00,-6.4615225142262101E-03, 4.1975025903012459E-03, 3.7860320485181309E-03,-8.0462264268529019E-05
 0.1132275000000000E+08, 2.9146181887105400E+00,-9.2536979111083273E+00, 6.0414735723801204E-02, 5.1075638216729613E-03, 2.0043217468959681E-03,-8.1316524804333080E-05
 0.1168800000000000E+08,-2.9819124830399840E-01,-9.9638752250404021E+00, 1.2535019100491354E-01, 5.3204831575254883E-03, 1.4904201501898614E-04,-6.7367145122215047E-05
 0.1205325000000000E+08,-3.4402019261045762E+00,-9.5671945693094820E+00, 1.7936311872440522E-01, 4.9637761172932815E-03,-1.6034488417717243E-03,-4.2284002833063872E-05
 0.1241850000000000E+08,-6.1893493549014131E+00,-8.1982450330035253E+00, 2.1631701653908850E-01, 4.1399903951340770E-03,-3.0934137664208011E-03,-9.2096164992498922E-06
 0.1278375000000000E+08,-8.2964016139681451E+00,-5.9725597292777515E+00, 2.2990841664288841E-01, 2.9090536295129314E-03,-4.2829836984074558E-03, 3.0548223467188323E-05
 0.1314900000000000E+08,-9.5645771733029417E+00,-3.1501081245851368E+00, 2.1774479674883415E-01, 1.3607084936779342E-03,-5.0956219227898782E-03, 7.3790210438030957E-05
 0.1351425000000000E+08,-9.8016691344537019E+00, 6.9081698280374540E-02, 1.7579486985787587E-01,-4.3641247667473241E-04,-5.4083147301665730E-03, 1.1678325657190037E-04
