 t,xh,yh,zh,vxh,vyh,vz
 0.0000000000000000E+00, 1.9922348963200001E+01, 2.3426195643761392E+00,-2.4935475570954871E-01,-4.9364207001745177E-04, 3.7248681728472809E-03, 2.0274397915572331E-05
 0.3652500000000000E+06, 1.8322094412970422E+01,-8.1485668631649766E+00,-2.6182225305655971E-01, 1.5817271603294531E-03, 3.3972560332398041E-03,-8.3281810363992189E-06
 0.7305000000000000E+06, 1.0909119708447724E+01,-1.6384907459946824E+01,-1.8881196346054235E-01, 3.2712277394827904E-03, 2.0031216119694413E-03,-3.4621478589681340E-05
 0.1095750000000000E+07,-6.2799160348384320E-01,-1.9185664581742500E+01,-4.8820213028579057E-02, 3.9106784742932868E-03,-2.9413594024597358E-04,-4.9039088674773276E-05
 0.1461000000000000E+07,-1.1679180427161386E+01,-1.4599135490961753E+01, 1.0297346022320419E-01, 3.0492334955646654E-03,-2.6403233720012102E-03,-4.3878327749666175E-05
 0.1826250000000000E+07,-1.7762864671681793E+01,-4.4445571287900716E+00, 2.0213060718059500E-01, 9.5031599360733256E-04,-4.0058077874721692E-03,-2.0969660430807971E-05
 0.2191500000000000E+07,-1.6821379995590920E+01, 7.4263760538750114E+00, 2.1413877328246617E-01,-1.5888249952874754E-03,-3.7699140655531346E-03, 1.0864489736786080E-05
 0.2556750000000000E+07,-8.8890755588886865E+00, 1.6548937284315773E+01, 1.3411504303503166E-01,-3.4712883192019998E-03,-2.0332099623732096E-03, 3.6880342471200886E-05
 0.2922000000000000E+07, 2.9459324126166284E+00, 1.9025021243807785E+01,-4.4240400414368251E-03,-3.8882400202864885E-03, 4.2871096918363586E-04, 4.5553900491655074E-05
 0.3287250000000000E+07, 1.3499542771717058E+01, 1.4435525439476880E+01,-1.3569931941415694E-01,-2.8757791581161267E-03, 2.5129394503684128E-03, 3.5961115046725310E-05
 0.3652500000000000E+07, 1.9297693494165461E+01, 5.4555568224605624E+00,-2.1335683450587570E-01,-1.0647320901917346E-03, 3.6043619295337711E-03, 1.5711878431343892E-05
 0.4017750000000000E+07, 1.9142403977538272E+01,-5.6525605428052428E+00,-2.1877373017902030E-01, 1.1303076988745425E-03, 3.5988034807047007E-03,-1.0035020050654223E-05
 0.4383000000000000E+07, 1.2479018436959191E+01,-1.5213828747221582E+01,-1.4621963700472212E-01, 3.0513056150869933E-03, 2.3332058552230409E-03,-3.3054085032928363E-05
 0.4748250000000000E+07, 1.6042158042419064E+00,-1.9134087786991785E+01,-2.1800965092975525E-02, 3.9178738673678534E-03, 1.5490899156534528E-04,-4.3242496427295366E-05
 0.5113500000000000E+07,-9.4398765814180070E+00,-1.6072883747164852E+01, 1.0482385530694723E-01, 3.4132265486172763E-03,-2.1803190448851741E-03,-3.7450192107734487E-05
 0.5478750000000000E+07,-1.7036425623401595E+01,-6.8574192311481124E+00, 1.8856186564386496E-01, 1.5025402520186368E-03,-3.8180210113934808E-03,-1.5412800135595934E-05
 0.5844000000000000E+07,-1.7624324156175284E+01, 5.4469586928741638E+00, 1.8918198783930415E-01,-1.1449605325976274E-03,-3.9184957368933850E-03, 1.4518589299053969E-05
