 t,xh,yh,zh,vxh,vyh,vz
 0.0000000000000000E+00, 3.3473818717761439E-01,-2.1061105379199779E-01,-4.7921461216598432E-02, 9.4572394374496608E-03, 2.5106125757836419E-02, 1.1835934147070429E-03
 0.3652500000000000E+06, 3.5045500257204321E-01,-1.6733785282341621E-01,-4.5133391303630144E-02, 6.5918513913229299E-03, 2.6518742238537001E-02, 1.6131890387514154E-03
 0.7305000000000000E+06, 3.6102994404543343E-01,-1.2212927164704569E-01,-4.1528048417326748E-02, 3.4763172949521899E-03, 2.7623579550458389E-02, 2.0261457583873803E-03
 0.1095750000000000E+07, 3.6611446960300714E-01,-7.5450003361967652E-02,-3.7153348964012595E-02, 1.2675674095938980E-04, 2.8375846899499377E-02, 2.4139735511285901E-03
 0.1461000000000000E+07, 3.6538100479960872E-01,-2.7995013567652244E-02,-3.2087474444434598E-02,-3.4239298646376003E-03, 2.8723636801476032E-02, 2.7658509912163835E-03
 0.1826250000000000E+07, 3.5857520121763775E-01, 1.9476762938643383E-02,-2.6427526921857691E-02,-7.1312960727488621E-03, 2.8616312571415791E-02, 3.0705964039941065E-03
 0.2191500000000000E+07, 3.4550295980633028E-01, 6.6287334029916503E-02,-2.0272984338412299E-02,-1.0947910143355773E-02, 2.8003078609696693E-02, 3.3170969771002014E-03
 0.2556750000000000E+07, 3.2614907714522462E-01, 1.1140591609601003E-01,-1.3775283472876359E-02,-1.4791920546604597E-02, 2.6839567949961039E-02, 3.4924393438772439E-03
 0.2922000000000000E+07, 3.0048188379290341E-01, 1.5408782420858383E-01,-7.0647360741530555E-03,-1.8590450219362765E-02, 2.5085854977323453E-02, 3.5859531628325129E-03
 0.3287250000000000E+07, 2.6880775040285149E-01, 1.9323364316174596E-01,-3.2693772084105375E-04,-2.2228369852373753E-02, 2.2722137217626309E-02, 3.5862637848796757E-03
 0.3652500000000000E+07, 2.3143880129990341E-01, 2.2795326685148676E-01, 6.2657867627678079E-03,-2.5595775379395426E-02, 1.9742844141871569E-02, 3.4853331851363500E-03
