 t,xh,yh,zh,vxh,vyh,vz
 0.0000000000000000E+00, 2.6471589364036468E+01,-1.4096521334906500E+01,-3.1964441840438462E-01, 1.4491178510995289E-03, 2.7916302817640199E-03,-9.0630886544057097E-05
 0.3652500000000000E+06, 2.9771687766968054E+01,-2.5462029953952388E+00,-6.3400091153730287E-01, 2.4426564855658709E-04, 3.1398748263287233E-03,-7.0233899353370344E-05
 0.7305000000000000E+06, 2.8209166783080352E+01, 9.6615166865325026E+00,-8.5060086278175984E-01,-1.0344421603847040E-03, 2.9881764822808948E-03,-3.7371549337178019E-05
 0.1095750000000000E+07, 2.1468450932762714E+01, 2.0655409246220238E+01,-9.2146567628838849E-01,-2.2031240228542318E-03, 2.2852694723479827E-03, 4.1831160377999441E-06
 0.1461000000000000E+07, 1.0790307185494235E+01, 2.7801757969210765E+01,-8.2137096399745624E-01,-2.9496197913645014E-03, 1.1494114685863979E-03, 4.4806635036646123E-05
 0.1826250000000000E+07,-1.3692590866846861E+00, 2.9850186051363579E+01,-5.8146683182399406E-01,-3.1505019362972580E-03,-1.2183638398105820E-04, 7.5843889321470468E-05
 0.2191500000000000E+07,-1.3101984621997987E+01, 2.6934683744482179E+01,-2.4696014387804455E-01,-2.8488883969022107E-03,-1.3453940125330919E-03, 9.4225953310384734E-05
 0.2556750000000000E+07,-2.3093975956475475E+01, 1.9259004246731088E+01, 1.4478113457434694E-01,-2.0388986872715599E-03,-2.3955419805246664E-03, 9.6889475162655899E-05
 0.2922000000000000E+07,-2.9102763883780071E+01, 8.0035087776105538E+00, 5.1779439920573045E-01,-8.4838348170727072E-04,-3.0102575152029603E-03, 8.1725086267157149E-05
 0.3287250000000000E+07,-2.9987530809628932E+01,-4.2906737715790149E+00, 7.9306425097027222E-01, 4.2566782243672719E-04,-3.0765778111243878E-03, 5.3324998711248338E-05
 0.3652500000000000E+07,-2.6049431964524373E+01,-1.5596024753808123E+01, 9.3398293939623545E-01, 1.5804799394083878E-03,-2.6714998291969480E-03, 1.7616673656236262E-05
 0.4017750000000000E+07,-1.7712317776171265E+01,-2.4649775771834538E+01, 9.2468221594268096E-01, 2.5285438823112664E-03,-1.8184112471313768E-03,-2.2452933788427198E-05
 0.4383000000000000E+07,-6.0843153568181645E+00,-2.9701381558079412E+01, 7.5370714804668104E-01, 3.0569168846485309E-03,-6.0673086406234770E-04,-5.9883818598679824E-05
 0.4748250000000000E+07, 6.4026839004094489E+00,-2.9556712114200792E+01, 4.5457541338619945E-01, 3.0386542104600669E-03, 6.8468512924052451E-04,-8.6200771846936457E-05
 0.5113500000000000E+07, 1.7333828827901041E+01,-2.4681608287362568E+01, 9.3778556921989734E-02, 2.5450397294864801E-03, 1.8180864911842951E-03,-9.7940091104510127E-05
 0.5478750000000000E+07, 2.5610281078131582E+01,-1.5738958438275452E+01,-2.8923959153797424E-01, 1.6232516077028553E-03, 2.6949816656837229E-03,-9.4021352059574690E-05
 0.5844000000000000E+07, 2.9702347741399823E+01,-3.6285265327453571E+00,-6.3667047710064018E-01, 3.5010697040302122E-04, 3.1371237112016556E-03,-7.2680141352113556E-05
 0.6209250000000000E+07, 2.8379043234219775E+01, 9.1531169465551727E+00,-8.6856440409041424E-01,-9.8854542783734125E-04, 2.9972478455361305E-03,-3.7760056364823065E-05
 0.6574500000000000E+07, 2.2155852338796659E+01, 1.9866661367810337E+01,-9.3984620015209130E-01,-2.1129422153093646E-03, 2.3562538010357416E-03, 2.4959298874663084E-06
 0.6939750000000000E+07, 1.2429709327266508E+01, 2.7038263379430251E+01,-8.5259820903640304E-01,-2.8813838625124624E-03, 1.3363527842316764E-03, 4.2209813737190493E-05
 0.7305000000000000E+07, 1.0968144640254497E-01, 2.9819312426349139E+01,-6.1211743162679733E-01,-3.1697567457210727E-03, 2.4010239324903129E-05, 7.6133562522377607E-05
 0.7670250000000000E+07,-1.2508138593484720E+01, 2.7181558110028206E+01,-2.5190327800381451E-01,-2.8702976831057963E-03,-1.2967146023593491E-03, 9.5969891680598650E-05
 0.8035500000000000E+07,-2.2640387345177142E+01, 1.9783022540623154E+01, 1.4633739601347368E-01,-2.0887441569897767E-03,-2.3366416721859982E-03, 9.8483783569732521E-05
 0.8400750000000000E+07,-2.8695646829999415E+01, 9.3452073250601337E+00, 5.0863011713242157E-01,-1.0060210103692701E-03,-2.9674305849721914E-03, 8.4969625354375209E-05
 0.8766000000000000E+07,-3.0119582554992359E+01,-2.7946452283253902E+00, 7.9276250319630359E-01, 2.6750914539943520E-04,-3.1131625453700231E-03, 5.6747182249927163E-05
 0.9131250000000000E+07,-2.6404885867031457E+01,-1.4893293936721484E+01, 9.4901809428639405E-01, 1.5182857241326012E-03,-2.7102801375673805E-03, 1.8001277631618571E-05
 0.9496500000000000E+07,-1.8153261162814182E+01,-2.4324254468915019E+01, 9.3956050253466261E-01, 2.4816284414797087E-03,-1.8585017410635053E-03,-2.3028146104579614E-05
 0.9861750000000000E+07,-7.2957932602520090E+00,-2.9490040440172582E+01, 7.7769913371940003E-01, 3.0204240637887229E-03,-7.3972678568767400E-04,-5.9274802107052072E-05
 0.1022700000000000E+08, 4.7472315768990505E+00,-2.9954815586893019E+01, 4.8955783237071654E-01, 3.0755125264135211E-03, 5.1212624680226147E-04,-8.6140613416089948E-05
 0.1059225000000000E+08, 1.6444306100472392E+01,-2.5330968152769042E+01, 1.0669293360111490E-01, 2.5994430551083809E-03, 1.7288764552802762E-03,-9.9020655549058516E-05
 0.1095750000000000E+08, 2.5336164693747421E+01,-1.6187437861439733E+01,-2.9945090549196762E-01, 1.6629455323195596E-03, 2.6558098303621977E-03,-9.4865129254610196E-05
 0.1132275000000000E+08, 2.9587193329004684E+01,-4.5570409804104388E+00,-6.4095966977579144E-01, 4.5668008494148120E-04, 3.1232502327873547E-03,-7.4385125374479800E-05
 0.1168800000000000E+08, 2.8896237255152876E+01, 7.4390099427033922E+00,-8.6719674433671579E-01,-8.1646771948909501E-04, 3.0628396656791632E-03,-4.1275152201422933E-05
 0.1205325000000000E+08, 2.3223328782390880E+01, 1.8621943825453936E+01,-9.5247684051747483E-01,-1.9938608791686624E-03, 2.4577807844535274E-03, 8.5383724295716245E-08
 0.1241850000000000E+08, 1.3112436782789057E+01, 2.6704015075951361E+01,-8.6347931906635478E-01,-2.8359365967699831E-03, 1.3986882641564352E-03, 4.2470499356004807E-05
 0.1278375000000000E+08, 7.3838064126523639E-01, 2.9802661204739056E+01,-6.1704952081128184E-01,-3.1640700170399018E-03, 1.0304016222003794E-04, 7.7010486262815695E-05
 0.1314900000000000E+08,-1.1276752186424650E+01, 2.7677021790179399E+01,-2.7271529876540612E-01,-2.9416166579890302E-03,-1.1701406782396509E-03, 9.6916203718108021E-05
 0.1351425000000000E+08,-2.1437168820350653E+01, 2.0960457145189498E+01, 1.1724700370148737E-01,-2.2173435880624504E-03,-2.2332641513351618E-03, 1.0013425824456465E-04
 0.1387950000000000E+08,-2.8295440277666476E+01, 1.0292774796135278E+01, 5.0342351809206243E-01,-1.0988579692925299E-03,-2.9285424869410345E-03, 8.6223865543589686E-05
 0.1424475000000000E+08,-3.0159176520984079E+01,-2.2473401107179360E+00, 8.0218327594516370E-01, 1.9957358245285248E-04,-3.1156791699747171E-03, 5.7253188220656287E-05
 0.1461000000000000E+08,-2.6924485734176976E+01,-1.4038645860085007E+01, 9.5671850990163310E-01, 1.4243963771667278E-03,-2.7700694325351275E-03, 1.9356828399488464E-05
 0.1497525000000000E+08,-1.9409579230899350E+01,-2.3384980754751368E+01, 9.5463856630635846E-01, 2.3856420501430576E-03,-1.9841244455980254E-03,-2.0471274159153805E-05
 0.1534050000000000E+08,-8.4659357102585595E+00,-2.9158103499953274E+01, 7.9401254990280090E-01, 2.9760290789804800E-03,-8.5921463197770245E-04,-5.7879744757333000E-05
 0.1570575000000000E+08, 4.1548043416361908E+00,-3.0031704410478824E+01, 4.9243389584871666E-01, 3.0802678790045807E-03, 4.3909977238356941E-04,-8.6630591737017082E-05
 0.1607100000000000E+08, 1.5786715021975841E+01,-2.5783639823850493E+01, 1.1363993512365565E-01, 2.6526561759366925E-03, 1.6602266501248653E-03,-9.9986403416267651E-05
 0.1643625000000000E+08, 2.4493452705682561E+01,-1.7555361684814621E+01,-2.7165704260705109E-01, 1.7891458823868322E-03, 2.5726191077029602E-03,-9.6256573230066097E-05
 0.1680150000000000E+08, 2.9344025005096302E+01,-6.2008604572605472E+00,-6.2101363769133566E-01, 6.1521065125255128E-04, 3.0790255154563482E-03,-7.6811681183968763E-05
 0.1716675000000000E+08, 2.9113205623237118E+01, 6.6147465496004791E+00,-8.7018162308447955E-01,-7.1904273145490265E-04, 3.0771257991885148E-03,-4.2725733618261817E-05
 0.1753200000000000E+08, 2.3587286513140736E+01, 1.8161114199509704E+01,-9.5931176149927055E-01,-1.9470221178944798E-03, 2.5108967239171401E-03,-1.9662782240491311E-07
 0.1789725000000000E+08, 1.4197647333672867E+01, 2.6109664501476423E+01,-8.7777582198328941E-01,-2.7920549517669101E-03, 1.5118577166028393E-03, 4.1006733741217816E-05
