 t,xh,yh,zh,vxh,vyh,vz
 0.0000000000000000E+00, 3.2488082974635041E-01,-1.3920413191921059E+00,-3.7142241988251279E-02, 1.4156783775670190E-02, 4.3809924986283897E-03,-2.5580138684768577E-04
 0.3652500000000000E+06,-1.6473711483131266E+00, 2.3064426518990422E-01, 4.1714592002376510E-02,-1.5068603450138656E-03,-1.2615498623746236E-02,-2.3388421697246705E-04
 0.7305000000000000E+06, 5.5874902244983882E-01, 1.3842280492155938E+00, 1.8232595193092258E-02,-1.2632454051076897E-02, 6.5189248419961505E-03, 3.9250095549672970E-04
 0.1095750000000000E+07, 5.2274401447320096E-01,-1.3374684688709781E+00,-3.7595357979635653E-02, 1.3288078072548629E-02, 6.4188317207492501E-03,-1.0036938240097199E-04
 0.1461000000000000E+07,-1.6687637942155518E+00,-4.7722566594298792E-02, 2.4733339051096193E-02, 5.4690221191889274E-04,-1.2644788799854728E-02,-2.7187980224295836E-04
 0.1826250000000000E+07, 3.3022899413743390E-01, 1.4444520248944888E+00, 2.4985570482599060E-02,-1.3601144510379345E-02, 4.4829201231214632E-03, 2.6829983151220588E-04
 0.2191500000000000E+07, 7.1316299688368956E-01,-1.2546700026945539E+00,-3.2071200930741034E-02, 1.2120556233193702E-02, 8.2978711082470034E-03, 3.2593449044549670E-05
 0.2556750000000000E+07,-1.6420166825256144E+00,-3.2702382507350075E-01, 7.5682706045362980E-03, 2.5771494890816445E-03,-1.2351401143422027E-02,-2.4958641169353700E-04
 0.2922000000000000E+07, 9.8689395815186959E-02, 1.4678158500372498E+00, 2.4668577358320766E-02,-1.4235858797375921E-02, 2.3144013724019016E-03, 1.2465600410893501E-04
 0.3287250000000000E+07, 8.9329105006062370E-01,-1.1431670538064824E+00,-2.1229535729295042E-02, 1.0674165968314379E-02, 9.9863599848600305E-03, 1.1750998953860178E-04
 0.3652500000000000E+07,-1.5676658593507757E+00,-5.9840677335912373E-01,-6.0310082428097333E-03, 4.5313992282262150E-03,-1.1743707501779405E-02,-1.7034565984919405E-04
 0.4017750000000000E+07,-1.3068980499235927E-01, 1.4552733375066591E+00, 1.7290137135849391E-02,-1.4518857673609394E-02, 6.0761028998327248E-05,-8.3289951236902162E-06
 0.4383000000000000E+07, 1.0578217156651308E+00,-1.0047703642844736E+00,-7.0015092082048669E-03, 8.9858729655806595E-03, 1.1431615242716801E-02, 1.3434639937719655E-04
 0.4748250000000000E+07,-1.4474606140750856E+00,-8.5405165846933251E-01,-1.2599501160192357E-02, 6.3628089155283035E-03,-1.0836780446613417E-02,-5.0428740570460105E-05
 0.5113500000000000E+07,-3.5116330538256330E-01, 1.4083830183894901E+00, 4.3439444439273443E-03,-1.4443564315404505E-02,-2.2109150992012574E-03,-9.7803544081771036E-05
 0.5478750000000000E+07, 1.2026726244199670E+00,-8.4111764332991246E-01, 7.5672902095618635E-03, 7.0937322414580534E-03, 1.2598398454990591E-02, 7.5357768500860649E-05
 0.5844000000000000E+07,-1.2852240033461388E+00,-1.0855435583811794E+00,-9.8373528147977594E-03, 8.0226316909267712E-03,-9.6547691447602009E-03, 8.2245097764858772E-05
 0.6209250000000000E+07,-5.5780250788366859E-01, 1.3296121587340404E+00,-1.1281154348221079E-02,-1.4016444677114315E-02,-4.4448461527154563E-03,-1.1610786749105798E-04
